Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Matches
Henri Koudossou,de GER,DF,Augsburg,25-223,1999,17,4,631,7.0,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,13,16,35,0.00,0.08,Matches
Konstantinos Koulierakis,gr GRE,DF,Wolfsburg,21-137,2003,25,23,2018,22.4,0,2,2,0,0,0,3,0,0.6,0.6,0.9,1.5,17,87,8,0.09,0.07,Matches
Matej Kovar,cz CZE,GK,Leverkusen,24-332,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Maurides,br BRA,FW,St. Pauli,31-035,1994,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Connor Metcalfe,au AUS,MF,St. Pauli,25-160,1999,7,2,278,3.1,0,0,0,0,0,0,0,0,0.7,0.7,0.2,0.8,6,8,9,0.00,0.27,Matches
Karol Mets,ee EST,DF,St. Pauli,31-333,1993,10,10,900,10.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,5,54,2,0.00,0.03,Matches
Alexander Meyer,de GER,GK,Dortmund,34-001,1991,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.06,Matches
Florian Micheler,at AUT,MF,Hoffenheim,19-332,2005,1,0,32,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,Matches
Max Moerstedt,de GER,FW,Hoffenheim,,,12,5,451,5.0,0,0,0,0,0,0,2,0,0.8,0.8,0.6,1.3,6,10,36,0.00,0.27,Matches
David Mokwa,fr FRA,"DF,FW",Hoffenheim,20-346,2004,2,0,22,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,0,0.00,1.21,Matches
David Jurásek,cz CZE,DF,Hoffenheim,24-250,2000,13,6,599,6.7,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,16,21,41,0.00,0.13,Matches
Almugera Kabar,de GER,DF,Dortmund,18-312,2006,5,1,137,1.5,0,0,0,0,0,0,2,1,0.0,0.0,0.5,0.5,5,6,2,0.00,0.36,Matches
Issa Kaboré,bf BFA,"DF,FW",Werder Bremen,23-337,2001,9,3,308,3.4,0,0,0,0,0,0,0,0,0.7,0.7,0.8,1.5,15,8,35,0.00,0.45,Matches
Pavel Kadeřábek,cz CZE,DF,Hoffenheim,32-354,1992,19,14,1186,13.2,0,0,0,0,0,0,5,0,0.3,0.3,1.7,2.0,12,38,60,0.00,0.15,Matches
Jakub Kamiński,pl POL,"DF,MF",Wolfsburg,22-313,2002,18,10,949,10.5,0,2,2,0,0,0,2,0,0.9,0.9,3.2,4.1,36,32,56,0.19,0.39,Matches
Mikkel Kaufmann,dk DEN,FW,Heidenheim,24-101,2001,9,3,372,4.1,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,4,10,21,0.00,0.15,Matches
Yannik Keitel,de GER,MF,Stuttgart,25-058,2000,10,2,252,2.8,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,11,2,0.00,0.15,Matches
Thomas Keller,de GER,"DF,MF",Heidenheim,25-252,1999,5,2,147,1.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.01,Matches
Steve Mounié,bj BEN,"FW,MF",Augsburg,30-197,1994,14,1,299,3.3,0,0,0,0,0,0,2,0,1.9,1.9,0.0,2.0,8,9,23,0.00,0.59,Matches
Florian Müller,de GER,GK,Freiburg,27-152,1997,6,5,483,5.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Kevin Müller,de GER,GK,Heidenheim,34-030,1991,29,29,2610,29.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Marius Müller,de GER,GK,Wolfsburg,31-276,1993,6,5,475,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Florent Muslija,xk KVX,"FW,MF",Freiburg,26-282,1998,9,0,168,1.9,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,5,7,14,0.00,0.30,Matches
Phillipp Mwene,at AUT,DF,Mainz 05,31-075,1994,28,28,2308,25.6,0,4,4,0,0,0,6,0,1.2,1.2,1.7,2.9,56,92,123,0.16,0.11,Matches
Stanley N'Soki,fr FRA,DF,Hoffenheim,26-005,1999,19,14,1112,12.4,0,0,0,0,0,0,1,1,0.1,0.1,0.1,0.1,9,41,3,0.00,0.01,Matches
Kosta Nedeljković,rs SRB,DF,RB Leipzig,19-119,2005,6,2,214,2.4,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.7,8,12,20,0.00,0.31,Matches
Ivan Nekić,hr CRO,DF,Holstein Kiel,24-111,2000,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,Matches
David Nemeth,at AUT,DF,St. Pauli,24-027,2001,19,19,1687,18.7,0,1,1,0,0,0,3,0,0.1,0.1,0.1,0.3,11,53,4,0.05,0.01,Matches
Luca Netz,de GER,DF,Gladbach,21-334,2003,21,8,930,10.3,0,2,2,0,0,0,2,0,0.2,0.2,1.9,2.1,15,26,54,0.19,0.20,Matches
Manuel Neuer,de GER,GK,Bayern Munich,39-018,1986,20,20,1800,20.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,10,0,0.00,0.03,Matches
Florian Neuhaus,de GER,MF,Gladbach,28-029,1997,13,2,318,3.5,0,1,1,0,0,0,1,0,0.5,0.5,0.3,0.9,9,22,7,0.28,0.24,Matches
Moritz Nicolas,de GER,GK,Gladbach,27-175,1997,19,19,1639,18.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Julian Niehues,de GER,MF,Heidenheim,23-362,2001,4,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,2,0.00,0.16,Matches
Niels Nkounkou,fr FRA,"DF,MF",Eint Frankfurt,24-164,2000,11,4,376,4.2,0,0,0,0,0,0,1,0,0.2,0.2,1.3,1.5,17,15,21,0.00,0.36,Matches
Arnaud Nordin,fr FRA,"DF,MF",Mainz 05,26-301,1998,4,0,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.5,2,1,14,0.00,0.56,Matches
Alexander Nübel,de GER,GK,Stuttgart,28-196,1996,29,29,2610,29.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,0,0,0,0.03,0.01,Matches
David Odogu,de GER,DF,Wolfsburg,18-315,2006,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,8,0,0.00,0.11,Matches
Tim Oermann,de GER,DF,Bochum,21-190,2003,24,21,1792,19.9,0,2,2,0,0,0,0,0,0.1,0.1,0.6,0.7,11,44,12,0.10,0.04,Matches
Ifechukwu Ogbus,ch SUI,DF,Freiburg,19-118,2005,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Finn Ole Becker,de GER,MF,Hoffenheim,24-310,2000,9,7,645,7.2,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,3,41,6,0.14,0.06,Matches
Arijon Ibrahimović,de GER,FW,Bayern Munich,19-124,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Jackson Irvine,au AUS,MF,St. Pauli,32-038,1993,29,29,2610,29.0,0,6,6,0,0,0,2,0,3.2,3.0,3.9,7.0,19,117,58,0.21,0.25,Matches
Marko Ivezić,rs SRB,DF,Holstein Kiel,23-133,2001,20,16,1476,16.4,0,0,0,0,0,0,4,0,0.5,0.5,0.2,0.7,3,38,8,0.00,0.04,Matches
Kristijan Jakić,hr CRO,MF,Augsburg,27-335,1997,26,22,1856,20.6,0,1,1,0,0,0,2,0,0.6,0.6,0.7,1.3,24,81,37,0.05,0.06,Matches
Luca Jaquez,ch SUI,DF,Stuttgart,21-316,2003,2,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,Matches
Dominik Javorček,sk SVK,"DF,MF",Holstein Kiel,22-163,2002,12,4,384,4.3,0,2,2,0,0,0,2,0,0.0,0.0,0.7,0.7,7,4,23,0.47,0.16,Matches
Finn Jeltsch,de GER,DF,Stuttgart,18-271,2006,7,5,470,5.2,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,6,15,5,0.00,0.02,Matches
Fredrik Jensen,fi FIN,MF,Augsburg,27-217,1997,17,9,711,7.9,0,0,0,0,0,0,0,0,0.6,0.6,0.7,1.3,15,18,53,0.00,0.17,Matches
